     0.000000
  5.1713E+00  2.3727E+00  2.0821E+00  3.6812E+00  3.6448E-01 -8.1905E-03  1.6475E+00 -1.8536E-02 -1.6500E-02  1.2987E-03
  5.1713E+00  1.7527E-02  9.3264E-01  4.9860E+00  3.6448E-01 -8.1905E-03  1.1726E+00 -7.8045E-02 -2.2131E-05  1.0942E-03
     1.320000
  5.1262E+00  2.5464E+00  2.2969E+00  4.1139E+00  3.8923E-01 -8.4172E-03  1.7756E+00 -1.9155E-02 -2.1601E-02  1.3126E-03
  5.1262E+00  1.7638E-02  9.9572E-01  5.2951E+00  3.8923E-01 -8.4172E-03  1.1806E+00 -7.1615E-02 -2.0847E-05  8.6177E-04
     1.380000
  5.0851E+00  2.7191E+00  2.5192E+00  4.5527E+00  3.9681E-01 -8.7251E-03  1.8533E+00 -1.9956E-02 -2.1956E-02  1.2638E-03
  5.0851E+00  1.8560E-02  1.0733E+00  5.5809E+00  3.9681E-01 -8.7251E-03  1.1908E+00 -7.6324E-02 -2.3831E-05  8.7312E-04
     1.440000
  5.0393E+00  2.8915E+00  2.7465E+00  5.0126E+00  4.2025E-01 -8.9682E-03  1.9939E+00 -2.0544E-02 -2.4362E-02  1.2547E-03
  5.0393E+00  1.9399E-02  1.1495E+00  5.8769E+00  4.2025E-01 -8.9682E-03  1.2470E+00 -6.6673E-02 -2.5732E-05  9.8438E-04
     1.500000
  4.9848E+00  3.0631E+00  2.9944E+00  5.5054E+00  4.1634E-01 -9.3476E-03  2.1115E+00 -2.1546E-02 -2.5004E-02  1.1463E-03
  4.9848E+00  2.0346E-02  1.2073E+00  6.2106E+00  4.1634E-01 -9.3476E-03  1.2722E+00 -8.2418E-02 -2.8966E-05  9.1474E-04
     1.560000
  4.9442E+00  3.2336E+00  3.2548E+00  6.0314E+00  4.1527E-01 -9.5936E-03  2.2014E+00 -2.2232E-02 -2.5490E-02  1.1396E-03
  4.9442E+00  2.0728E-02  1.2812E+00  6.5450E+00  4.1527E-01 -9.5936E-03  1.2803E+00 -8.5376E-02 -3.1899E-05  8.7292E-04
     1.620000
  4.9098E+00  3.4020E+00  3.5218E+00  6.5917E+00  4.1101E-01 -9.7894E-03  2.2920E+00 -2.2826E-02 -2.9443E-02  1.2174E-03
